Date,Open,High,Low,Close,Volume
336,'2008-01-28 00:00',1.46886,1.47977,1.46588,1.47847,869752.0
337,'2008-01-29 00:00',1.47831,1.4788,1.47346,1.47659,867336.0
338,'2008-01-30 00:00',1.47666,1.49073,1.47508,1.48247,870145.0
339,'2008-01-31 00:00',1.48246,1.49137,1.47994,1.48597,868877.0
340,'2008-02-01 00:00',1.48596,1.49468,1.47839,1.47995,845785.0
341,'2008-02-03 00:00',1.48036,1.48057,1.47895,1.48011,22457.0
342,'2008-02-04 00:00',1.47997,1.48482,1.47889,1.48243,864460.0
343,'2008-02-05 00:00',1.48232,1.48314,1.46185,1.46334,867880.0
344,'2008-02-06 00:00',1.46316,1.46699,1.45877,1.46114,868265.0
345,'2008-02-07 00:00',1.46119,1.46513,1.44366,1.44742,863686.0
346,'2008-02-08 00:00',1.44737,1.45475,1.44467,1.4503,845793.0
347,'2008-02-10 00:00',1.45127,1.45279,1.45076,1.45234,22293.0
348,'2008-02-11 00:00',1.45228,1.45786,1.44788,1.44972,867721.0
349,'2008-02-12 00:00',1.44974,1.46141,1.44923,1.4578,870152.0
350,'2008-02-13 00:00',1.45778,1.45988,1.45307,1.4552,867106.0
351,'2008-02-14 00:00',1.45526,1.46475,1.45457,1.46391,868532.0
352,'2008-02-15 00:00',1.46409,1.47084,1.46266,1.46802,815350.0
353,'2008-02-17 00:00',1.4679,1.46806,1.46626,1.46708,53412.0
354,'2008-02-18 00:00',1.46712,1.46901,1.46081,1.46478,865777.0
